category,n,s,holder,year
hex_in_oct,1,0.82134+,Trivial,
hex_in_oct,2,2√3/(1+√2) = 1.43488+,Trivial,
hex_in_oct,3,3+2√6–2√2–2√3 = 1.60645+,Jonathan Viquerat,2026
hex_in_oct,4,1.75630+,Jonathan Viquerat,2026
hex_in_oct,5,1.98707+,Jonathan Viquerat,2026
hex_in_oct,6,2.16435+,Nicolas Campailla,2026
hex_in_oct,7,2.18284+,Jonathan Viquerat,2026
hex_in_oct,8,2.40792+,Jonathan Viquerat,2026
hex_in_oct,9,2.62665+,Jonathan Viquerat,2026
hex_in_oct,10,2.74238+,Jonathan Viquerat,2026
hex_in_oct,11,4√3/(1+√2) = 2.86975+,Jonathan Viquerat,2026
hex_in_oct,12,2.92139+,Timo Berthold et al,2026
hex_in_oct,13,3.07201+,Jonathan Viquerat,2026
hex_in_oct,14,3.13475+,Jonathan Viquerat,2026
hex_in_oct,15,3.28379+,Timo Berthold et al,2026
hex_in_oct,16,3.37007+,Timo Berthold et al,2026
hex_in_oct,17,3.47655+,Jake Loyd,2026
hex_in_oct,18,3.56008+,Timo Berthold et al,2026
hex_in_oct,19,5√3/(1+√2) = 3.58719+,Jonathan Viquerat,2026
hex_in_oct,20,3.72606+,Jonathan Viquerat,2026
hex_in_oct,21,3.81013+,Bhavithran Ananthan,2026
hex_in_oct,22,3.91915+,Thomas Greenleaf,2026
