category,n,s,holder,year
hex_in_squ,1,(1+√3)/√2 = 1.931+,Trivial,
hex_in_squ,2,(1+2√3)/√2 = 3.156+,Trivial,
hex_in_squ,3,9(6–√3)/11 = 3.491+,Maurizio Morandi,2026
hex_in_squ,4,(7–√3)/√2 = 3.725+,Maurizio Morandi,2026
hex_in_squ,5,7(3–√3)/2 = 4.437+,Maurizio Morandi,2026
hex_in_squ,6,20(9–2√3)/23 = 4.813+,Maurizio Morandi,2026
hex_in_squ,7,3√3 = 5.196+,Trivial,
hex_in_squ,8,3√3 = 5.196+,Trivial,
hex_in_squ,9,(13–3√3)/√2 = 5.518+,Maurizio Morandi,2026
hex_in_squ,10,6.10469+,Jonathan Viquerat,2026
hex_in_squ,11,6.33218+,Maksymilian Jankowski,2026
hex_in_squ,12,43(5–√3)/22 = 6.387+,Maurizio Morandi,2026
hex_in_squ,13,6.75549+,Timo Berthold et al,2026
hex_in_squ,14,4√3 = 6.928+,Trivial,
hex_in_squ,15,6.96367+,Maksymilian Jankowski,2026
hex_in_squ,16,(19–5√3)/√2 = 7.311+,Maurizio Morandi,2026
hex_in_squ,17,7.60383+,Maksymilian Jankowski,2026
hex_in_squ,18,32(9–2√3)/23 = 7.702+,Maurizio Morandi,2026
hex_in_squ,19,25(3–√3)/4 = 7.924+,Maurizio Morandi,2026
hex_in_squ,20,74(21–4√3)/131 = 7.948+,Maurizio Morandi,2026
hex_in_squ,21,8.381+,Jonathan Viquerat,2026
hex_in_squ,22,8.568+,Jonathan Viquerat,2026
hex_in_squ,23,5√3 = 8.660+,Jonathan Viquerat,2026
hex_in_squ,24,8.795+,Jonathan Viquerat,2026
hex_in_squ,25,30(4√3–3)/13 = 9.065+,Jonathan Viquerat,2026
hex_in_squ,26,9.22085+,Bhavithran Ananthan,2026
hex_in_squ,27,9.27734+,Thomas Greenleaf,2026
