category,n,s,holder,year
oct_in_tri,1,4.38541+,Jonathan Viquerat,2026
oct_in_tri,2,6.79962+,Jonathan Viquerat,2026
oct_in_tri,3,(6+5√2+4√3+3√6)/4 = 6.83693+,Jonathan Viquerat,2026
oct_in_tri,4,8.65211+,Jonathan Viquerat,2026
oct_in_tri,5,9.28498+,Jonathan Viquerat,2026
oct_in_tri,6,9.31576+,Jonathan Viquerat,2026
oct_in_tri,7,11.06632+,Jonathan Viquerat,2026
oct_in_tri,8,11.51025+,Jonathan Viquerat,2026
oct_in_tri,9,11.72998+,Trivial,
oct_in_tri,10,11.80642+,Jonathan Viquerat,2026
oct_in_tri,11,13.24689+,Jonathan Viquerat,2026
oct_in_tri,12,13.62033+,Jonathan Viquerat,2026
oct_in_tri,13,14.04225+,Jonathan Viquerat,2026
oct_in_tri,14,14.24006+,Jonathan Viquerat,2026
oct_in_tri,15,14.28169+,Jonathan Viquerat,2026
oct_in_tri,16,15.66136+,Jonathan Viquerat,2026
oct_in_tri,17,16.06191+,Bhavithran Ananthan,2026
oct_in_tri,18,16.41137+,Bhavithran Ananthan,2026
oct_in_tri,19,16.54447+,Timo Berthold et al,2026
oct_in_tri,20,16.74197+,Bhavithran Ananthan,2026
oct_in_tri,21,16.78582+,Bhavithran Ananthan,2026
oct_in_tri,22,17.96238+,Bhavithran Ananthan,2026
