category,n,s,holder,year
pen_in_hex,1,0.92900+,Trivial,
pen_in_hex,2,1.53879+,Trivial,
pen_in_hex,3,1.73240+,Trivial,
pen_in_hex,4,1.97666+,Ethan Riddle,2026
pen_in_hex,5,2.21822+,Nicolas Campailla,2026
pen_in_hex,6,2.32294+,Nicolas Campailla,2026
pen_in_hex,7,2.36527+,Nicolas Campailla,2026
pen_in_hex,8,2.71923+,Jonathan Viquerat,2026
pen_in_hex,9,2.86967+,Nicolas Campailla,2026
pen_in_hex,10,2.93665+,Jonathan Viquerat,2026
pen_in_hex,11,3.16125+,Jonathan Viquerat,2026
pen_in_hex,12,3.21458+,Jake Loyd,2026
pen_in_hex,13,3.40911+,Jonathan Viquerat,2026
pen_in_hex,14,3.46643+,Jonathan Viquerat,2026
pen_in_hex,15,3.63499+,Jake Loyd,2026
pen_in_hex,16,3.69896+,Jonathan Viquerat,2026
pen_in_hex,17,3.75774+,Jonathan Viquerat,2026
pen_in_hex,18,3.84479+,Jake Loyd,2026
pen_in_hex,19,3.88272+,Bhavithran Ananthan,2026
pen_in_hex,20,4.14048+,Jake Loyd,2026
pen_in_hex,21,4.24003+,Jake Loyd,2026
pen_in_hex,22,4.32443+,Jake Loyd,2026
pen_in_hex,23,4.39703+,Jake Loyd,2026
pen_in_hex,24,4.46360+,Jake Loyd,2026
pen_in_hex,25,4.57861+,Jake Loyd,2026
pen_in_hex,26,4.66044+,Bhavithran Ananthan,2026
pen_in_hex,27,4.71800+,Bhavithran Ananthan,2026
pen_in_hex,28,4.84410+,Bhavithran Ananthan,2026
pen_in_hex,29,4.91275+,Mohamed Metwalli,2026
pen_in_hex,30,4.96723+,Mohamed Metwalli,2026
pen_in_hex,31,5.09328+,Bhavithran Ananthan,2026
