category,n,s,holder,year
tri_in_hex,1,1/√3 = .577+,Trivial,
tri_in_hex,2,√3/2 = .866+,Trivial,
tri_in_hex,3,√((6+√33)/12) = .989+,Erich Friedman,2005
tri_in_hex,4,1,Trivial,
tri_in_hex,5,1,Trivial,
tri_in_hex,6,1,Trivial,
tri_in_hex,7,1.277+,David W. Cantrell,2005
tri_in_hex,8,1.356+,David W. Cantrell,2012
tri_in_hex,9,1.434+,Erich Friedman,2005
tri_in_hex,10,1.497+,Timo Berthold et al,2026
tri_in_hex,11,3/2 = 1.500,Erich Friedman,2005
tri_in_hex,12,1.623+,Timo Berthold et al,2026
tri_in_hex,13,√(587+51√17)/12√2 = 1.663829+,Ian Watson,2026
tri_in_hex,14,1.725+,David W. Cantrell,2012
tri_in_hex,15,7/4 = 1.750,Erich Friedman,2005
tri_in_hex,16,9/5 = 1.800,Maurizio Morandi,2008
tri_in_hex,17,11/6 = 1.833+,Maurizio Morandi,2008
tri_in_hex,18,17/9 = 1.888+,Maurizio Morandi,2008
tri_in_hex,19,1.953+,Alex Adrián Nieto,2026
tri_in_hex,20,1.97591+,Aaden Abraham,2026
tri_in_hex,21,1.99869+,Haowei Lin,2026
tri_in_hex,22,2,Trivial,
tri_in_hex,23,2,Trivial,
tri_in_hex,24,2,Trivial,
tri_in_hex,25,13/6 = 2.16666+,Ignacio Vallejo,2026
tri_in_hex,26,2.21991+,Ian Watson,2026
tri_in_hex,27,2.29540+,Haowei Lin,2026
tri_in_hex,28,2.32251+,Jake Loyd,2026
tri_in_hex,29,7/3 = 2.33333+,Ignacio Vallejo,2026
tri_in_hex,30,19/8 = 2.375,Ignacio Vallejo,2026
tri_in_hex,31,12/5 = 2.4,Emerson Connelly,2026
tri_in_hex,32,2.46104+,Haowei Lin,2026
tri_in_hex,33,2.49038+,Jake Loyd,2026
tri_in_hex,34,5/2 = 2.5,Emerson Connelly,2026
tri_in_hex,35,5/2 = 2.5,Emerson Connelly,2026
tri_in_hex,36,2.58309+,Thomas Greenleaf,2026
tri_in_hex,37,2.61436+,Jake Loyd,2026
tri_in_hex,38,2.65998+,Jake Loyd,2026
tri_in_hex,39,8/3 = 2.66666+,Emerson Connelly,2026
tri_in_hex,40,2.71131+,Jake Loyd,2026
tri_in_hex,41,2.73692+,Jake Loyd,2026
tri_in_hex,42,11/4 = 2.75,Maurizio Morandi,2026
tri_in_hex,43,14/5 = 2.8,Thomas Greenleaf,2026
tri_in_hex,44,17/6 = 2.833+,Emerson Connelly,2026
tri_in_hex,45,17/6 = 2.833+,Emerson Connelly,2026
tri_in_hex,46,2.88830+,Jake Loyd,2026
tri_in_hex,47,35/12 = 2.917+,Emerson Connelly,2026
tri_in_hex,48,47/16 = 2.9375,Thomas Greenleaf,2026
tri_in_hex,49,2.97693+,Thomas Greenleaf,2026
tri_in_hex,50,3,Trivial,
tri_in_hex,51,3,Trivial,
tri_in_hex,52,3,Trivial,
tri_in_hex,53,3,Trivial,
tri_in_hex,54,3,Trivial,
