category,n,s,holder,year
tri_in_squ,1,(√2+√6)/4 = .965+,Trivial,
tri_in_squ,2,√6/2 = 1.224+,Trivial,
tri_in_squ,3,√3/2+√6/4 = 1.478+,Erich Friedman,1996
tri_in_squ,4,1+1/√3 = 1.577+,Erich Friedman,1996
tri_in_squ,5,1.803+,Erich Friedman,1996
tri_in_squ,6,9/2-3√3/2 = 1.901+,Erich Friedman,1996
tri_in_squ,7,2,Erich Friedman,1996
tri_in_squ,8,3√3/2-1/2 = 2.098+,Erich Friedman,1996
tri_in_squ,9,2.287+,Maurizio Morandi,July 2008
tri_in_squ,10,2.377+,David W. Cantrell,July 2002
tri_in_squ,11,2.490+,Maurizio Morandi,June 2008
tri_in_squ,12,2.558+,Dominik Kamp,April 2026
tri_in_squ,13,2.595+,David W. Cantrell,July 2002
tri_in_squ,14,2.726+,David W. Cantrell,July 2002
tri_in_squ,15,2.82989+,Jake Loyd,June 2026
tri_in_squ,16,2.9000+,Ian Watson,April 2026
tri_in_squ,17,2.982+,Maurizio Morandi,July 2008
tri_in_squ,18,3.051+,Maurizio Morandi,July 2008
tri_in_squ,19,3.12929+,Jake Loyd,June 2026
tri_in_squ,20,3.2305+,Ian Watson,April 2026
tri_in_squ,21,3.31102+,Thomas Schadt,June 2026
tri_in_squ,22,3.3757+,Ian Watson,April 2026
tri_in_squ,23,3.4311+,Ian Watson,April 2026
tri_in_squ,24,3.46780+,Thomas Schadt,June 2026
tri_in_squ,25,3.537+,David W. Cantrell,August 2012
tri_in_squ,26,3.575+,Maurizio Morandi,September 2008
tri_in_squ,27,3.6726+,Ian Watson,April 2026
tri_in_squ,28,3.75707+,Jake Loyd,June 2026
tri_in_squ,29,3.81711+,Jake Loyd,June 2026
tri_in_squ,30,3.86619+,Jake Loyd,June 2026
tri_in_squ,31,3.93107+,Jake Loyd,June 2026
tri_in_squ,32,3.97880+,Jake Loyd,June 2026
tri_in_squ,33,4.05164+,Jake Loyd,June 2026
tri_in_squ,34,4.09088+,Jake Loyd,June 2026
tri_in_squ,35,4.14123+,Jake Loyd,June 2026
tri_in_squ,36,4.20791+,Jake Loyd,June 2026
tri_in_squ,37,4.26880+,Jake Loyd,June 2026
tri_in_squ,38,4.32018+,Jake Loyd,June 2026
tri_in_squ,39,4.36792+,Jake Loyd,June 2026
tri_in_squ,40,4.41058+,Jake Loyd,June 2026
tri_in_squ,41,4.46446+,Jake Loyd,June 2026
tri_in_squ,42,4.51177+,Thomas Schadt,June 2026
tri_in_squ,43,4.55035+,Thomas Schadt,June 2026
tri_in_squ,44,4.60023+,Thomas Schadt,June 2026
tri_in_squ,45,4.67749+,Thomas Schadt,June 2026
tri_in_squ,46,4.72965+,Thomas Schadt,June 2026
tri_in_squ,47,4.78204+,Thomas Schadt,June 2026
tri_in_squ,48,4.82632+,Thomas Schadt,June 2026
