category,n,s,holder,year
hex_in_tri,1,3,Trivial,
hex_in_tri,2,5,Trivial,
hex_in_tri,3,5,Trivial,
hex_in_tri,4,6,Trivial,
hex_in_tri,5,5(1+&radic;3)/2 = 6.8301+,Maurizio Morandi,April 2015
hex_in_tri,6,2(1+&radic;6) = 6.89897+,Jonathan Viquerat,April 2026
hex_in_tri,7,8,Trivial,
hex_in_tri,8,25/3 = 8.3333+,Erich Friedman,April 2015
hex_in_tri,9,8.64494+,Bhavithran Ananthan,July 2026
hex_in_tri,10,5&radic;3 = 8.6602+,Trivial,
hex_in_tri,11,9.54823+,Jonathan Viquerat,April 2026
hex_in_tri,12,9.96429+,Bhavithran Ananthan,July 2026
hex_in_tri,13,10.28857+,Bhavithran Ananthan,July 2026
hex_in_tri,14,6&radic;3 = 10.3923+,Trivial,
hex_in_tri,15,6&radic;3 = 10.3923+,Trivial,
hex_in_tri,16,11.36383+,Timo Berthold et al,May 2026
hex_in_tri,17,11.63456+,Timo Berthold et al,April 2026
hex_in_tri,18,11.91421+,Jake Loyd,May 2026
hex_in_tri,19,12,Trivial,
hex_in_tri,20,7&radic;3 = 12.1243+,Trivial,
hex_in_tri,21,7&radic;3 = 12.1243+,Trivial,
hex_in_tri,22,12.99518+,Jonathan Viquerat,May 2026
hex_in_tri,23,13.39989+,Jake Loyd,June 2026
hex_in_tri,24,13.61925+,Thomas Greenleaf,June 2026
hex_in_tri,25,13.77683+,Jake Loyd,June 2026
hex_in_tri,26,7&radic;3 = 13.85677+,Trivial,
hex_in_tri,27,7&radic;3 = 13.85677+,Trivial,
hex_in_tri,28,7&radic;3 = 13.85677+,Trivial,
hex_in_tri,29,14.78557+,Haowei Lin,July 2026
hex_in_tri,30,15,Trivial,
hex_in_tri,31,15,Trivial,
hex_in_tri,32,15.47573+,Haowei Lin,July 2026
