category,n,s,holder,year
oct_in_pen,1,<font s = 1.87981+,Trivial,
oct_in_pen,2,<font s = 3.35605+,Jonathan Viquerat,May 2026
oct_in_pen,3,<font s = 3.74412+,Jonathan Viquerat,May 2026
oct_in_pen,4,<font s = 4.10125+,Bhavithran Ananthan,July 2026
oct_in_pen,5,<font s = 4.33300+,Jonathan Viquerat,May 2026
oct_in_pen,6,<font s = 4.77007+,Jonathan Viquerat,May 2026
oct_in_pen,7,<font s = = 5.25544+,Jonathan Viquerat,May 2026
oct_in_pen,8,<font s = 5.61662+,Jonathan Viquerat,May 2026
oct_in_pen,9,<font s = 5.96580+,Jonathan Viquerat,May 2026
oct_in_pen,10,<font s = 6.28146+,Jonathan Viquerat,May 2026
oct_in_pen,11,<font s = 6.46576+,Jonathan Viquerat,May 2026
oct_in_pen,12,<font s = 6.71763+,Jonathan Viquerat,May 2026
oct_in_pen,13,<font s = 6.97062+,Jonathan Viquerat,May 2026
oct_in_pen,14,<font s = 7.16083+,Jonathan Viquerat,May 2026
oct_in_pen,15,<font s = 7.36431.+,Jonathan Viquerat,May 2026
oct_in_pen,16,<font s = 7.61505+,Bhavithran Ananthan,June 2026
oct_in_pen,17,<font s = 7.91419+,Bhavithran Ananthan,July 2026
oct_in_pen,18,<font s = 8.12567+,Bhavithran Ananthan,June 2026
oct_in_pen,19,<font s = 8.34354+,Bhavithran Ananthan,July 2026
oct_in_pen,20,<font s = 8.54202+,Bhavithran Ananthan,July 2026
