category,n,s,holder,year
pen_in_squ,1,(3&radic;2+&radic;10+2&radic;(5+&radic;5))/8 = 1.59811+,Trivial,
pen_in_squ,2,2.46345+,Trivial,
pen_in_squ,3,2.90811+,Bhavithran Ananthan,July 2026
pen_in_squ,4,3.10252+,Jonathan Viquerat,April 2026
pen_in_squ,5,3.54903+,Jonathan Viquerat,April 2026
pen_in_squ,6,3.88299+,Haowei Lin,July 2026
pen_in_squ,7,4.18037+,Nicolas Campailla,May 2026
pen_in_squ,8,4.38191+,Jonathan Viquerat,April 2026
pen_in_squ,9,4.60033+,Jonathan Viquerat,April 2026
pen_in_squ,10,4.90581+,Jonathan Viquerat,June 2026
pen_in_squ,11,5.11556+,Haowei Lin,July 2026
pen_in_squ,12,5.23221+,Timo Berthold et al,May 2026
pen_in_squ,13,5.52102+,Jake Loyd,June 2026
pen_in_squ,14,5.69659+,Jake Loyd,June 2026
pen_in_squ,15,5.90119+,Haowei Lin,July 2026
pen_in_squ,16,6.06452+,Timo Berthold et al,April 2026
pen_in_squ,17,6.23761+,Jonathan Viquerat,June 2026
pen_in_squ,18,6.32565+,Bhavithran Ananthan,July 2026
pen_in_squ,19,6.55781+,Jake Loyd,June 2026
pen_in_squ,20,6.66135+,Haowei Lin,July 2026
pen_in_squ,21,6.85368+,Jake Loyd,June 2026
pen_in_squ,22,7.04445+,Haowei Lin,July 2026
pen_in_squ,23,7.20624+,Jake Loyd,June 2026
pen_in_squ,24,7.33690+,Jake Loyd,June 2026
pen_in_squ,25,7.45360+,Jake Loyd,June 2026
