category,n,s,holder,year
squ_in_hex,1,(3+&radic;3)/6 = 0.778+,Trivial,
squ_in_hex,2,2/&radic;3 = 1.154+,Trivial,
squ_in_hex,3,(1+&radic;3)/2 = 1.366+,Maurizio Morandi,March 2026
squ_in_hex,4,2/31/4 = 1.519+,Maurizio Morandi,March 2026
squ_in_hex,5,&radic;3 = 1.732+,Trivial,
squ_in_hex,6,1.821+,Maurizio Morandi,March 2026
squ_in_hex,7,(&radic;2)31/4 = 1.861+,Maurizio Morandi,March 2026
squ_in_hex,8,2.15378+,Ian Watson,April 2026
squ_in_hex,9,1/2+&radic;3 = 2.23205+,Jonathan Viquerat,April 2026
squ_in_hex,10,4/&radic;3 = 2.309+,Trivial,
squ_in_hex,11,2.40944+,Jonathan Viquerat,April 2026
squ_in_hex,12,1+5&radic;3/6 = 2.443+,Maurizio Morandi,March 2026
squ_in_hex,13,2.572+,Maurizio Morandi,April 2026
squ_in_hex,14,2.62126+,Jonathan Viquerat,April 2026
squ_in_hex,15,2.75364+,Grant Mowry,May 2026
squ_in_hex,16,2.82002+,Spencer Leach,May 2026
squ_in_hex,17,2.87264+,Jake Loyd,May 2026
squ_in_hex,18,2.92104+,Haowei Lin,July 2026
squ_in_hex,19,2.93508+,Haowei Lin,July 2026
squ_in_hex,20,3.16123+,Ian Watson,April 2026
squ_in_hex,21,(23+11&radic;3)/13 = 3.23481+,Spencer Leach,May 2026
squ_in_hex,22,3.31432+,Jake Loyd,June 2026
squ_in_hex,23,3.36407+,Jake Loyd,June 2026
squ_in_hex,24,3.40286+,Thomas Greenleaf,June 2026
squ_in_hex,25,2&radic;3 = 3.46410+,Trivial,
squ_in_hex,26,3.49276+,Jake Loyd,June 2026
squ_in_hex,27,(9+7&radic;3)/6 = 3.52072+,Erich Friedman,April 2026
squ_in_hex,28,3.61979+,Jake Loyd,June 2026
squ_in_hex,29,3.66437+,Ian Watson,April 2026
squ_in_hex,30,3.69552+,Aristotle Papowitz,July 2026
squ_in_hex,31,3.78143+,Jake Loyd,June 2026
squ_in_hex,32,3.84140+,Jake Loyd,June 2026
squ_in_hex,33,3.86634+,Jake Loyd,June 2026
squ_in_hex,34,3.91853+,Jake Loyd,June 2026
squ_in_hex,35,3.98201+,Jake Loyd,June 2026
squ_in_hex,36,4.02042+,Jake Loyd,June 2026
squ_in_hex,37,7/&radic;3 = 4.04145+,Trivial,
squ_in_hex,38,4.18036+,Jake Loyd,June 2026
squ_in_hex,39,4.24512+,Jake Loyd,June 2026
squ_in_hex,40,4.30171+,Aristotle Papowitz,July 2026
