category,n,s,holder,year
tri_in_oct,1,.46470+,Trivial,
tri_in_oct,2,&radic;3/&radic;(4+2&radic;2) = .66282+,Trivial,
tri_in_oct,3,.73651+,Ignacio Vallejo,March 2026
tri_in_oct,4,.77731+,Timo Berthold et al,May 2026
tri_in_oct,5,.80366+,Nicolas Campailla,May 2026
tri_in_oct,6,.81574+,Ignacio Vallejo,March 2026
tri_in_oct,7,.92453+,Ignacio Vallejo,March 2026
tri_in_oct,8,.98777+,Timo Berthold et al,May 2026
tri_in_oct,9,1.00871+,Grant Mowry,April 2026
tri_in_oct,10,1.07515+,Jake Loyd,May 2026
tri_in_oct,11,1.14562+,Grant Mowry,April 2026
tri_in_oct,12,1.19914+,Timo Berthold et al,May 2026
tri_in_oct,13,1.23726+,Jake Loyd,June 2026
tri_in_oct,14,1.27629+,Jake Loyd,June 2026
tri_in_oct,15,1.30240+,Timo Berthold et al,May 2026
tri_in_oct,16,1.34566+,Jake Loyd,June 2026
tri_in_oct,17,1.38854+,Jake Loyd,June 2026
tri_in_oct,18,1.41763+,Jake Loyd,June 2026
tri_in_oct,19,1.46678+,Jake Loyd,June 2026
tri_in_oct,20,1.49689+,Jake Loyd,June 2026
tri_in_oct,21,1.52519+,Jake Loyd,June 2026
tri_in_oct,22,1.55435+,Jake Loyd,June 2026
tri_in_oct,23,1.58348+,Jake Loyd,June 2026
tri_in_oct,24,1.60180+,Jake Loyd,June 2026
tri_in_oct,25,1.63703+,Jake Loyd,June 2026
tri_in_oct,26,1.67455+,Jake Loyd,June 2026
tri_in_oct,27,1.70616+,Jake Loyd,June 2026
tri_in_oct,28,1.73796+,Jake Loyd,June 2026
tri_in_oct,29,1.75285+,Jake Loyd,June 2026
tri_in_oct,30,1.77911+,Jake Loyd,June 2026
tri_in_oct,31,1.80338+,Aristotle Papowitz,July 2026
tri_in_oct,32,1.82994+,Aristotle Papowitz,July 2026
tri_in_oct,33,1.85226+,Aristotle Papowitz,July 2026
tri_in_oct,34,1.87172+,Aristotle Papowitz,July 2026
tri_in_oct,35,1.89051+,Aristotle Papowitz,July 2026
tri_in_oct,36,1.92667+,Aristotle Papowitz,July 2026
tri_in_oct,37,1.95615+,Aristotle Papowitz,July 2026
