category,n,s,holder,year
pen_in_pen,1,1,Trivial,
pen_in_pen,2,2,Trivial,
pen_in_pen,3,&radic;5 = 2.23606+,Jonathan Viquerat,April 2026
pen_in_pen,4,2.44719+,Jonathan Viquerat,April 2026
pen_in_pen,5,(3+&radic;5)/2 = 2.61803+,Trivial,
pen_in_pen,6,(3+&radic;5)/2 = 2.61803+,Trivial,
pen_in_pen,7,3.07866+,Jonathan Viquerat,April 2026
pen_in_pen,8,3.33514+,Jonathan Viquerat,April 2026
pen_in_pen,9,3.44956+,Jonathan Viquerat,April 2026
pen_in_pen,10,3.68324+,Jonathan Viquerat,April 2026
pen_in_pen,11,3.79704+,Jonathan Viquerat,April 2026
pen_in_pen,12,3.96926+,Jonathan Viquerat,April 2026
pen_in_pen,13,4.06523+,Jonathan Viquerat,April 2026
pen_in_pen,14,4.21111+,Grant Mowry,May 2026
pen_in_pen,15,2+&radic;5 = 4.23606+,Trivial,
pen_in_pen,16,4.41636+,Jonathan Viquerat,April 2026
pen_in_pen,17,4.65543+,Timo Berthold et al,May 2026
pen_in_pen,18,4.77541+,Jonathan Viquerat,April 2026
pen_in_pen,19,4.95269+,Ian Watson,April 2026
pen_in_pen,20,5.03404+,Jake Loyd,June 2026
pen_in_pen,21,5.15638+,Jake Loyd,June 2026
pen_in_pen,22,5.26645+,Grant Mowry,May 2026
pen_in_pen,23,5.34696+,Jake Loyd,June 2026
pen_in_pen,24,5.49109+,Jake Loyd,June 2026
pen_in_pen,25,5.58099+,Jake Loyd,June 2026
pen_in_pen,26,5.67233+,Bhavithran Ananthan,June 2026
