category,n,s,holder,year
pen_in_tri,1,(1+&radic;5)/2 + &radic;((5+&radic;5)/6) = 2.71621+,Trivial,
pen_in_tri,2,&radic;((40+8&radic;5)/3) &ndash; (3&ndash;&radic;5)/2 = 4.01077+,Ethan Riddle and Proved by Nicolas Campailla,May 2026
pen_in_tri,3,&radic;((75+33&radic;5)/8) &ndash; (3&ndash;&radic;5)/4 = 4.12164+,Jonathan Viquerat,May 2026
pen_in_tri,4,5.21983+,Jonathan Viquerat,May 2026
pen_in_tri,5,5.55809+,Jonathan Viquerat,May 2026
pen_in_tri,6,5.63540+,Jonathan Viquerat,May 2026
pen_in_tri,7,6.50034+,Jonathan Viquerat,May 2026
pen_in_tri,8,6.81133+,Bhavithran Ananthan,July 2026
pen_in_tri,9,7.08969+,Bhavithran Ananthan,July 2026
pen_in_tri,10,7.17235+,Bhavithran Ananthan,July 2026
pen_in_tri,11,7.93748+,Jonathan Viquerat,May 2026
pen_in_tri,12,8.19117+,Jonathan Viquerat,May 2026
pen_in_tri,13,8.37807+,Jonathan Viquerat,May 2026
pen_in_tri,14,8.58917+,Haowei Lin,July 2026
pen_in_tri,15,8.69161+,Jake Loyd,June 2026
pen_in_tri,16,9.29700+,Haowei Lin,July 2026
pen_in_tri,17,9.57797+,Jake Loyd,June 2026
pen_in_tri,18,9.78077+,Jake Loyd,June 2026
pen_in_tri,19,9.92567+,Haowei Lin,July 2026
pen_in_tri,20,10.09879+,Jake Loyd,June 2026
pen_in_tri,21,10.17148+,Bhavithran Ananthan,July 2026
pen_in_tri,22,10.75818+,Jake Loyd,June 2026
pen_in_tri,23,10.99100+,Jake Loyd,June 2026
pen_in_tri,24,11.17511+,Jake Loyd,June 2026
pen_in_tri,25,11.32392+,Jake Loyd,June 2026
pen_in_tri,26,11.45549+,Aristotle Papowitz,July 2026
pen_in_tri,27,11.59953+,Bhavithran Ananthan,July 2026
pen_in_tri,28,11.69416+,Bhavithran Ananthan,July 2026
pen_in_tri,29,12.18243+,Bhavithran Ananthan,July 2026
pen_in_tri,30,12.38893+,Haowei Lin,July 2026
pen_in_tri,31,12.59201+,Haowei Lin,July 2026
pen_in_tri,32,12.71117+,Haowei Lin,July 2026
pen_in_tri,33,12.86391+,Haowei Lin,July 2026
pen_in_tri,34,12.98141+,Haowei Lin,July 2026
pen_in_tri,35,13.11409+,Bhavithran Ananthan,July 2026
pen_in_tri,36,13.18354+,Haowei Lin,July 2026
pen_in_tri,37,13.64359+,Haowei Lin,July 2026
pen_in_tri,38,13.83966+,Bhavithran Ananthan,July 2026
pen_in_tri,39,13.98431+,Haowei Lin,July 2026
pen_in_tri,40,14.13953+,Haowei Lin,July 2026
