category,n,s,holder,year
squ_in_pen,1,cos(27&deg;) / cos(18&deg;) s = .936+,Trivial,
squ_in_pen,2,4&radic;(1&ndash;2/&radic;5)+&radic;5&ndash;2 s = 1.535+,Erich Friedman,March 2012
squ_in_pen,3,1.695+,David W. Cantrell,July 2012
squ_in_pen,4,1.861+,Maurizio Morandi,July 2012
squ_in_pen,5,1 + cos(18&deg;) s = 1.951+,Erich Friedman,March 2012
squ_in_pen,6,6&radic;(1&ndash;2/&radic;5)+&radic;5&ndash;2 s = 2.185+,Erich Friedman,March 2012
squ_in_pen,7,6&radic;(1&ndash;2/&radic;5)+2&radic;5&ndash;4 s = 2.421+,Erich Friedman,July 2012
squ_in_pen,8,2.565+,David W. Cantrell,July 2012
squ_in_pen,9,2.693+,Timo Berthold et al,January 2026
squ_in_pen,10,2.793+,Timo Berthold et al,January 2026
squ_in_pen,11,2.890+,Timo Berthold et al,January 2026
squ_in_pen,12,2.969+,Timo Berthold et al,January 2026
squ_in_pen,13,3.12074+,Jake Loyd,June 2026
squ_in_pen,14,3.187+,David W. Cantrell,July 2012
squ_in_pen,15,(&radic;(125&ndash;38&radic;5)+8&ndash;2&radic;5)/3 s = 3.284+,David W. Cantrell,July 2012
squ_in_pen,16,3.47851+,Jonathan Viquerat,May 2026
squ_in_pen,17,3.541+,Ignacio Vallejo,March 2026
squ_in_pen,18,3.62598+,Haowei Lin,July 2026
squ_in_pen,19,3.70918+,Jake Loyd,June 2026
squ_in_pen,20,3.79775+,Jake Loyd,June 2026
squ_in_pen,21,3.86365+,Jake Loyd,June 2026
squ_in_pen,22,3.93347+,Jake Loyd,June 2026
squ_in_pen,23,4.00109+,Jake Loyd,June 2026
squ_in_pen,24,4.10103+,Jake Loyd,June 2026
squ_in_pen,25,4.16727+,Jake Loyd,June 2026
squ_in_pen,26,4.22150+,Jake Loyd,June 2026
squ_in_pen,27,4.34851+,Jake Loyd,June 2026
squ_in_pen,28,4.41576+,Jake Loyd,June 2026
squ_in_pen,29,4.49879+,Jake Loyd,June 2026
squ_in_pen,30,4.54753+,Jake Loyd,June 2026
squ_in_pen,31,4.62404+,Jake Loyd,June 2026
squ_in_pen,32,4.70000+,Jake Loyd,June 2026
squ_in_pen,33,4.75331+,Jake Loyd,June 2026
squ_in_pen,34,4.81345+,Jake Loyd,June 2026
squ_in_pen,35,4.86283+,Jake Loyd,June 2026
squ_in_pen,36,4.93131+,Jake Loyd,June 2026
squ_in_pen,37,4.97801+,Jake Loyd,June 2026
squ_in_pen,38,5.04838+,Jake Loyd,June 2026
squ_in_pen,39,5.13653+,Jake Loyd,June 2026
squ_in_pen,40,5.16849+,Jake Loyd,June 2026
