category,n,s,holder,year
hex_in_pen,1,1.39538+,Trivial,
hex_in_pen,2,2.46585+,Jonathan Viquerat,May 2026
hex_in_pen,3,2.74282+,Ethan Riddle,May 2026
hex_in_pen,4,3.01521+,Bhavithran Ananthan,July 2026
hex_in_pen,5,3.21972+,Aristotle Papowitz,July 2026
hex_in_pen,6,3.54952+,Jonathan Viquerat,May 2026
hex_in_pen,7,3.79749+,Jonathan Viquerat,May 2026
hex_in_pen,8,4.14916+,Bhavithran Ananthan,July 2026
hex_in_pen,9,4.34314+,Jonathan Viquerat,May 2026
hex_in_pen,10,4.55810+,Jonathan Viquerat,May 2026
hex_in_pen,11,4.71959+,Bhavithran Ananthan,July 2026
hex_in_pen,12,4.91850+,Jonathan Viquerat,May 2026
hex_in_pen,13,5.10107+,Bhavithran Ananthan,July 2026
hex_in_pen,14,5.29198+,Jake Loyd,June 2026
hex_in_pen,15,5.41337+,Jake Loyd,June 2026
hex_in_pen,16,5.61409+,Jake Loyd,June 2026
hex_in_pen,17,5.82103+,Jake Loyd,June 2026
hex_in_pen,18,5.94471+,Jonathan Viquerat,May 2026
hex_in_pen,19,6.10977+,Jonathan Viquerat,May 2026
hex_in_pen,20,6.24667+,Jake Loyd,June 2026
hex_in_pen,21,6.39216+,Jonathan Viquerat,August 2026
hex_in_pen,22,6.53472+,Bhavithran Ananthan,July 2026
hex_in_pen,23,6.66271+,Jake Loyd,June 2026
hex_in_pen,24,6.77466+,Jake Loyd,June 2026
hex_in_pen,25,6.89098+,Bhavithran Ananthan,July 2026
hex_in_pen,26,7.04734+,Aristotle Papowitz,July 2026
hex_in_pen,27,7.15307+,Aristotle Papowitz,July 2026
hex_in_pen,28,7.24810+,Bhavithran Ananthan,July 2026
hex_in_pen,29,7.37905+,Bhavithran Ananthan,July 2026
hex_in_pen,30,7.45985+,Aristotle Papowitz,July 2026
hex_in_pen,31,7.63264+,Bhavithran Ananthan,July 2026
hex_in_pen,32,7.76619+,Bhavithran Ananthan,July 2026
