category,n,s,holder,year
oct_in_hex,1,cos(7.5&deg;)/&radic;3/sin(22.5&deg;) = 1.49578+,Trivial,
oct_in_hex,2,2.70289+,Trivial,
oct_in_hex,3,2.88958+,Mohamed Metwalli,June 2026
oct_in_hex,4,&radic;(9/2+3&radic;2) = 3.27809+,Mohamed Metwalli,June 2026
oct_in_hex,5,3.71848+,Jonathan Viquerat,June 2026
oct_in_hex,6,3.94730+,Aristotle Papowitz,July 2026
oct_in_hex,7,3.97716+,Jonathan Viquerat,June 2026
oct_in_hex,8,4.56653+,Jonathan Viquerat,June 2026
oct_in_hex,9,4.93304+,Jonathan Viquerat,June 2026
oct_in_hex,10,5.06929+,Jonathan Viquerat,June 2026
oct_in_hex,11,5.34796+,Bhavithran Ananthan,July 2026
oct_in_hex,12,5.38669+,Jonathan Viquerat,June 2026
oct_in_hex,13,5.75470+,Jonathan Viquerat,June 2026
oct_in_hex,14,5.77752+,Jonathan Viquerat,June 2026
oct_in_hex,15,6.13744+,Bhavithran Ananthan,June 2026
oct_in_hex,16,6.21438+,Jonathan Viquerat,June 2026
oct_in_hex,17,6.35725+,Jonathan Viquerat,June 2026
oct_in_hex,18,6.42774+,Bhavithran Ananthan,July 2026
oct_in_hex,19,6.44696+,Bhavithran Ananthan,July 2026
oct_in_hex,20,6.99419+,Leo Strijbos,August 2026
