category,n,s,holder,year
oct_in_oct,1,1,Trivial,
oct_in_oct,2,2,Trivial,
oct_in_oct,3,5&ndash;2&radic;2 = 2.17157+,Ignacio Vallejo,March 2026
oct_in_oct,4,&radic;(5+1/&radic;2) = 2.38895+,Ignacio Vallejo,March 2026
oct_in_oct,5,2+1/&radic;2 = 2.70710+,Ignacio Vallejo,March 2026
oct_in_oct,6,2.98894+,Nicolas Campailla,May 2026
oct_in_oct,7,3,Trivial,
oct_in_oct,8,3.27524+,Grant Mowry,May 2026
oct_in_oct,9,2+&radic;2 = 3.41421+,Ignacio Vallejo,March 2026
oct_in_oct,10,3+1/&radic;2 = 3.70710+,Ignacio Vallejo,March 2026
oct_in_oct,11,3.93256+,Timo Berthold et al,May 2026
oct_in_oct,12,4,Trivial,
oct_in_oct,13,7&ndash;2&radic;2 = 4.17157+,Ignacio Vallejo,March 2026
oct_in_oct,14,4.28135+,Timo Berthold et al,May 2026
oct_in_oct,15,4.45584+,Timo Berthold et al,May 2026
oct_in_oct,16,4.59803+,Timo Berthold et al,May 2026
oct_in_oct,17,4.75690+,Timo Berthold et al,May 2026
oct_in_oct,18,4.85681+,Timo Berthold et al,May 2026
oct_in_oct,19,4.93550+,Timo Berthold et al,May 2026
oct_in_oct,20,5.06727+,Timo Berthold et al,May 2026
oct_in_oct,21,5.19695+,Timo Berthold et al,May 2026
oct_in_oct,22,5.35686+,Bhavithran Ananthan,July 2026
oct_in_oct,23,4+&radic;2 = 5.41421+,Bhavithran Ananthan,July 2026
oct_in_oct,24,5.55414+,Bhavithran Ananthan,July 2026
oct_in_oct,25,5.65411+,Bhavithran Ananthan,July 2026
oct_in_oct,26,5.73828+,Bhavithran Ananthan,July 2026
oct_in_oct,27,5.81167+,Bhavithran Ananthan,July 2026
oct_in_oct,28,3+2&radic;2 = 5.82842+,Ignacio Vallejo,March 2026
oct_in_oct,29,6.05649+,Bhavithran Ananthan,July 2026
oct_in_oct,30,6.15306+,Timo Berthold et al,May 2026
