category,n,s,holder,year
tri_in_pen,1,cos(42&deg;) / cos(18&deg;) s = .781+,Trivial,
tri_in_pen,2,&radic;(6/(3+&radic;5)) s = 1.070+,Trivial,
tri_in_pen,3,1.143+,Maurizio Morandi,August 2012
tri_in_pen,4,1.199+,Maurizio Morandi,July 2012
tri_in_pen,5,1 + 2sin(12&deg;)/&radic;3 s = 1.240+,Erich Friedman,March 2012
tri_in_pen,6,1.393+,Dominik Kamp,April 2026
tri_in_pen,7,1.581+,David W. Cantrell,July 2012
tri_in_pen,8,1.659+,Maurizio Morandi,July 2012
tri_in_pen,9,1.767+,Maurizio Morandi,July 2012
tri_in_pen,10,1.815+,Timo Berthold et al,January 2026
tri_in_pen,11,1.871+,Timo Berthold et al,January 2026
tri_in_pen,12,1.973+,Ignacio Vallejo,March 2026
tri_in_pen,13,2.017+,Timo Berthold et al,January 2026
tri_in_pen,14,2.088+,Ignacio Vallejo,April 2026
tri_in_pen,15,2.123+,Ignacio Vallejo,March 2026
tri_in_pen,16,2.17596+,Jake Loyd,June 2026
tri_in_pen,17,2.23656+,Jake Loyd,June 2026
tri_in_pen,18,2.29381+,Jake Loyd,June 2026
tri_in_pen,19,2.344+,Ignacio Vallejo,March 2026
tri_in_pen,20,2.43345+,Jake Loyd,June 2026
tri_in_pen,21,2.479+,Ignacio Vallejo,March 2026
tri_in_pen,22,2.56740+,Ian Watson,April 2026
tri_in_pen,23,2.61825+,Jake Loyd,June 2026
tri_in_pen,24,2.66641+,Ian Watson,April 2026
tri_in_pen,25,2.71860+,Jake Loyd,June 2026
tri_in_pen,26,2.76865+,Jake Loyd,June 2026
tri_in_pen,27,2.81741+,Jake Loyd,June 2026
tri_in_pen,28,2.86636+,Aristotle Papowitz,July 2026
tri_in_pen,29,2.90240+,Aristotle Papowitz,July 2026
tri_in_pen,30,2.95014+,Aristotle Papowitz,July 2026
tri_in_pen,31,2.98366+,Jake Loyd,June 2026
tri_in_pen,32,3.02686+,Jake Loyd,June 2026
tri_in_pen,33,3.06583+,Jake Loyd,June 2026
tri_in_pen,34,3.11073+,Aristotle Papowitz,July 2026
tri_in_pen,35,3.14843+,Aristotle Papowitz,July 2026
tri_in_pen,36,3.17473+,Aristotle Papowitz,July 2026
tri_in_pen,37,3.21120+,Jake Loyd,June 2026
tri_in_pen,38,3.24851+,Jake Loyd,June 2026
tri_in_pen,39,3.29219+,Jake Loyd,June 2026
tri_in_pen,40,3.32605+,Jake Loyd,June 2026
tri_in_pen,41,3.36740+,Thomas Greenleaf,June 2026
tri_in_pen,42,3.42505+,Aristotle Papowitz,July 2026
tri_in_pen,43,3.46433+,Aristotle Papowitz,July 2026
tri_in_pen,44,3.52140+,Derek Wu,July 2026
tri_in_pen,45,3.51261+,Emerson Connelly,May 2026
tri_in_pen,46,3.61491+,Emerson Connelly,May 2026
tri_in_pen,47,3.65879+,Aapo Lipponen,July 2026
tri_in_pen,48,3.67605+,Thomas Greenleaf,June 2026
tri_in_pen,49,3.72296+,Emerson Connelly,May 2026
tri_in_pen,50,3.75988+,Emerson Connelly,May 2026
