category,n,outcome,mechanisms,incumbent_at_attempt,incumbent_floor,our_best_logged,evidence
hex_in_hex,12,no-improvement,search (blitz-3),Alpha Evolve,3.94164,,blitz3_targets.txt (aggregate: 0/69 improvements)
hex_in_hex,14,tie-documented,drop-one (night sweep); harvest,Dominik Kamp,4.26899,4.268995140,night_harvest/do0_* | sweep_results.md
hex_in_hex,15,tie-documented,drop-one (night sweep); harvest,Alex Kravatsky et al,4.44727,4.447271181,night_harvest/do0_* | sweep_results.md
hex_in_hex,16,tie-documented,drop-one (night sweep); harvest,Alex Kravatsky et al,4.52746,4.527508076,night_harvest/do0_* | sweep_results.md
hex_in_hex,17,tie-documented,drop-one (night sweep); harvest,Alex Kravatsky et al,4.6136,4.613616200,night_harvest/do0_* | sweep_results.md
hex_in_hex,18,attempted,drop-one (night sweep); search (BH/GPU),Maurizio Morandi,,,night_harvest/do0_* | results/*_bh_*
hex_in_hex,22,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
hex_in_hex,23,tie-documented,harvest,Jonathan Viquerat,5.39998,5.400000006,sweep_results.md
hex_in_hex,24,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
hex_in_hex,25,tie-documented,drop-one (night sweep); harvest,Alex Kravatsky et al,5.6239,5.623931683,night_harvest/do0_* | sweep_results.md
hex_in_hex,26,tie-documented,drop-one (night sweep); harvest,Alex Kravatsky et al,5.70972,5.709808154,night_harvest/do0_* | sweep_results.md
hex_in_hex,27,tie-documented,drop-one (night sweep); harvest,Alex Kravatsky et al,5.71415,5.714146599,night_harvest/do0_* | sweep_results.md
hex_in_hex,28,tie-documented,harvest,Alex Kravatsky et al,5.90893,5.908957689,sweep_results.md
hex_in_hex,32,beaten-claimed,drop-one (night sweep); harvest,Bhavithran Ananthan,6.26164,6.260881958274990,ledger: standing | night_harvest/do0_* | sweep_results.md
hex_in_hex,33,beaten-claimed,harvest,Thomas Greenleaf,6.26603,6.265896788426259,ledger: standing | sweep_results.md
hex_in_oct,3,tie-documented,search (blitz-1),Jonathan Viquerat,1.60645,1.606450747,blitz_final.txt | blitz_targets.txt
hex_in_oct,4,tie-documented,search (blitz-1),Jonathan Viquerat,1.7563,1.756300685,blitz_final.txt | blitz_targets.txt
hex_in_oct,5,tie-documented,search (blitz-1),Jonathan Viquerat,1.98707,1.987076693,blitz_final.txt | blitz_targets.txt
hex_in_oct,6,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Nicolas Campailla,2.16435,2.164402515,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
hex_in_oct,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,2.18284,2.182843621,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
hex_in_oct,8,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,2.40792,2.407921900,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
hex_in_oct,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,2.62665,2.626656349,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
hex_in_oct,10,tie-documented,harvest; search (blitz-3),Jonathan Viquerat,2.74238,2.742383394,blitz3_targets.txt (aggregate: 0/69 improvements) | sweep_results.md
hex_in_oct,11,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
hex_in_oct,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Timo Berthold et al,2.92139,2.921401871,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
hex_in_oct,13,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.07201,3.072014050,night_harvest/do0_* | sweep_results.md
hex_in_oct,14,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.13475,3.134757089,night_harvest/do0_* | sweep_results.md
hex_in_oct,15,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,3.28379,3.283847389,night_harvest/do0_* | sweep_results.md
hex_in_oct,16,tie-documented,drop-one (night sweep); harvest,Timo Berthold et al,3.37007,3.370253197,night_harvest/do0_* | sweep_results.md
hex_in_oct,17,tie-documented,drop-one (night sweep); harvest,Jake Loyd,3.47655,3.476713309,night_harvest/do0_* | sweep_results.md
hex_in_oct,18,tie-documented,harvest,Timo Berthold et al,3.56008,3.560109508,sweep_results.md
hex_in_oct,19,attempted,drop-one (night sweep),Jonathan Viquerat,,,night_harvest/do0_*
hex_in_oct,20,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,3.72606,3.726081992,night_harvest/do0_* | sweep_results.md
hex_in_oct,21,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,3.81013,3.810154534,night_harvest/do0_* | sweep_results.md
hex_in_oct,22,tie-documented,harvest,Thomas Greenleaf,3.91915,3.919206460,sweep_results.md
hex_in_pen,3,tie-documented,search (blitz-1),Ethan Riddle,2.74282,2.742825893,blitz_final.txt | blitz_targets.txt
hex_in_pen,4,beaten-candidate,search (blitz-1),Jonathan Viquerat,3.01522,3.015218981,blitz_final.txt | blitz_targets.txt
hex_in_pen,5,beaten-claimed,search; search (blitz-1),Jonathan Viquerat,3.21973,3.219728441230089,blitz_final.txt | blitz_targets.txt | ledger: standing
hex_in_pen,6,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,3.54952,3.549532435,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
hex_in_pen,7,tie-documented,drop-one (night sweep); harvest; search (blitz-2),Jonathan Viquerat,3.79749,3.797494114,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/do0_* | sweep_results.md
hex_in_pen,8,tie-documented,drop-one (night sweep); harvest; search (blitz-2); search (night BH),Jonathan Viquerat,4.14917,4.149240062,blitz2_targets.txt (aggregate: 49 ties) | night_harvest/bh_* | night_harvest/do0_* | sweep_results.md
hex_in_pen,9,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,4.34314,4.343145123,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
hex_in_pen,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,4.5581,4.558106969,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
hex_in_pen,11,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Bhavithran Ananthan,4.71959,4.719595380,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
hex_in_pen,12,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,4.9185,4.918500225,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
hex_in_pen,13,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,5.10107,5.101077535,night_harvest/do0_* | sweep_results.md
hex_in_pen,14,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.29198,5.292070328,night_harvest/do0_* | sweep_results.md
hex_in_pen,15,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.41337,5.413392121,night_harvest/do0_* | sweep_results.md
hex_in_pen,16,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.61409,5.614388800,night_harvest/do0_* | sweep_results.md
hex_in_pen,17,tie-documented,drop-one (night sweep); harvest,Jake Loyd,5.82103,5.821353626,night_harvest/do0_* | sweep_results.md
hex_in_pen,18,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,5.94471,5.944819924,night_harvest/do0_* | sweep_results.md
hex_in_pen,19,tie-documented,drop-one (night sweep); harvest,Jonathan Viquerat,6.10977,6.109899105,night_harvest/do0_* | sweep_results.md
hex_in_pen,20,tie-documented,drop-one (night sweep); harvest,Jake Loyd,6.24667,6.246996119,night_harvest/do0_* | sweep_results.md
hex_in_pen,21,tie-documented,drop-one (night sweep); harvest; search (night BH),Jonathan Viquerat,6.39222,6.392228700,night_harvest/bh_* | night_harvest/do0_* | sweep_results.md
hex_in_pen,22,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,6.53472,6.534725574,night_harvest/do0_* | sweep_results.md
hex_in_pen,23,tie-documented,drop-one (night sweep); harvest,Jake Loyd,6.66271,6.662742960,night_harvest/do0_* | sweep_results.md
hex_in_pen,24,tie-documented,drop-one (night sweep); harvest,Jake Loyd,6.77466,6.774943924,night_harvest/do0_* | sweep_results.md
hex_in_pen,25,tie-documented,drop-one (night sweep); harvest; search (night BH),Jonathan Viquerat,6.891,6.890990032,night_harvest/bh_* | night_harvest/do0_* | sweep_results.md
hex_in_pen,26,beaten-claimed,drop-one (night sweep); harvest; search (night BH),Bhavithran Ananthan,7.04758,7.047340522162662,ledger: standing | night_harvest/bh_* | night_harvest/do0_* | sweep_results.md
hex_in_pen,27,beaten-claimed,drop-one (night sweep); harvest,Bhavithran Ananthan,7.15354,7.153071449490314,ledger: standing | night_harvest/do0_* | sweep_results.md
hex_in_pen,28,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,7.24834,7.248391586,night_harvest/do0_* | sweep_results.md
hex_in_pen,29,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,7.37905,7.379042906,night_harvest/do0_* | sweep_results.md
hex_in_pen,30,beaten-claimed,harvest,Mohamed Metwalli,7.46147,7.459853596877675,ledger: standing | sweep_results.md
hex_in_pen,31,tie-documented,drop-one (night sweep); harvest,Bhavithran Ananthan,7.63264,7.632832603,night_harvest/do0_* | sweep_results.md
hex_in_pen,32,beaten-claimed,harvest,Bhavithran Ananthan,7.76651,7.766495222005064,ledger: re-taken by Bhavithran Ananthan (July 2026) | sweep_results.md
hex_in_squ,3,tie-documented,search (blitz-1),Maurizio Morandi,3.491,3.491958434,blitz_final.txt | blitz_targets.txt
hex_in_squ,4,tie-documented,search (blitz-1),Maurizio Morandi,3.725,3.725002597,blitz_final.txt | blitz_targets.txt
hex_in_squ,5,tie-documented,search (blitz-1),Maurizio Morandi,4.437,4.437822179,blitz_final.txt | blitz_targets.txt
hex_in_squ,9,attempted,drop-one (night sweep),Maurizio Morandi,,,night_harvest/do0_*
hex_in_squ,10,tie-documented,drop-one (night sweep); harvest; search (blitz-3),Jonathan Viquerat,6.10469,6.104758988,blitz3_targets.txt (aggregate: 0/69 improvements) | night_harvest/do0_* | sweep_results.md
