category,n,source,s_claimed,s_raw_fresh,s_certified_fresh,worst_pair_sep,worst_containment,cert_cost,verdict
hex_in_hex,32,B4 ALL19 coordinates txt,6.260881958274990,6.260881958274989,6.260881958275790,-1.585e-13,-1.981e-13,8.011e-13,VERIFIED
hex_in_hex,33,B4 ALL19 coordinates txt,6.265896788426259,6.265896788426257,6.265896788426257,+1.566e-12,+1.613e-12,0.000e+00,VERIFIED
hex_in_pen,5,B7 FINAL8 json,3.219728441230089,3.219728441230089,3.219728441230089,+3.035e-12,+1.298e-11,0.000e+00,VERIFIED
hex_in_pen,26,B7 FINAL8 json,7.047340522162662,7.047340522162662,7.047340522164712,-5.036e-13,+7.081e-12,2.050e-12,VERIFIED
hex_in_pen,27,B5/B6 ALL26 coordinates txt,7.153071449490314,7.153071449490313,7.153071449490313,+2.092e-13,+1.101e-13,0.000e+00,VERIFIED
hex_in_pen,30,B5/B6 ALL26 coordinates txt,7.459853596877675,7.459853596877674,7.459853596878733,-1.290e-13,-3.464e-13,1.059e-12,VERIFIED
hex_in_pen,32,B5/B6 ALL26 coordinates txt,7.766495222005064,7.766495222005062,7.766495222006502,-3.002e-13,-6.484e-14,1.440e-12,VERIFIED
oct_in_hex,6,B5/B6 ALL26 coordinates txt,3.947306302388469,3.947306302388469,3.947306302389249,-3.647e-13,+5.141e-12,7.794e-13,VERIFIED
oct_in_hex,20,B5/B6 ALL26 coordinates txt,6.994504805050101,6.994504805050100,6.994504805051101,-2.642e-13,+1.581e-13,1.000e-12,VERIFIED
oct_in_tri,14,B5/B6 ALL26 coordinates txt,14.239214111099999,14.239214111099997,14.239214111100614,-8.005e-14,+1.332e-15,6.164e-13,VERIFIED
oct_in_tri,18,B5/B6 ALL26 coordinates txt,16.409792942504033,16.409792942504033,16.409792942504033,+2.186e-12,+1.873e-11,0.000e+00,VERIFIED
pen_in_hex,6,B7 FINAL8 json,2.322939295665665,2.322939295665665,2.322939295667044,-7.924e-13,-2.456e-13,1.379e-12,VERIFIED
pen_in_hex,26,B5/B6 ALL26 coordinates txt,4.660313003943706,4.660313003943706,4.660313003944477,-8.527e-14,-5.347e-13,7.709e-13,VERIFIED
pen_in_hex,27,B5/B6 ALL26 coordinates txt,4.717566100821409,4.717566100821409,4.717566100821458,+4.574e-14,-4.974e-14,4.885e-14,VERIFIED
pen_in_hex,28,B5/B6 ALL26 coordinates txt,4.843997128569802,4.843997128569802,4.843997128571289,-4.853e-13,-3.464e-14,1.487e-12,VERIFIED
pen_in_hex,29,B5/B6 ALL26 coordinates txt,4.910037168096236,4.910037168096236,4.910037168096438,-4.219e-14,-7.638e-14,2.025e-13,VERIFIED
pen_in_hex,30,B5/B6 ALL26 coordinates txt,4.964065503257694,4.964065503257694,4.964065503259085,-4.534e-13,+3.633e-13,1.391e-12,VERIFIED
