category,n,worst_pair_lb,worst_containment_lb,s_certified_interval_ub,s_claimed,prior_floor,beats_floor,verdict
hex_in_hex,32,-1.5883e-13,-1.9725e-13,6.260881958275790889,6.26088195827499,6.26164,yes,INTERVAL-CERTIFIED
hex_in_hex,33,1.5656e-12,1.6119e-12,6.265896788426257,6.265896788426259,6.26603,yes,INTERVAL-CERTIFIED
hex_in_pen,5,3.0349e-12,1.2983e-11,3.2197284412300881726,3.219728441230089,3.21973,yes,INTERVAL-CERTIFIED
hex_in_pen,26,-5.0332e-13,7.0805e-12,7.0473405221647084623,7.047340522162662,7.04739,yes,INTERVAL-CERTIFIED
hex_in_pen,27,2.0959e-13,1.0941e-13,7.1530714494903121423,7.153071449490314,7.15354,yes,INTERVAL-CERTIFIED
hex_in_pen,30,-1.2913e-13,-3.4653e-13,7.4598535968787336662,7.459853596877675,7.46147,yes,INTERVAL-CERTIFIED
hex_in_pen,32,-3.0002e-13,-6.5796e-14,7.7664952220065019281,7.766495222005064,7.76651,yes,INTERVAL-CERTIFIED
oct_in_hex,6,-3.6476e-13,5.1405e-12,3.9473063023892490785,3.947306302388469,3.9496,yes,INTERVAL-CERTIFIED
oct_in_hex,20,-2.6396e-13,1.5773e-13,6.994504805051100846,6.994504805050101,6.99466,yes,INTERVAL-CERTIFIED
oct_in_tri,14,-7.9902e-14,1.0782e-15,14.23921411110061532,14.239214111099999,14.24006,yes,INTERVAL-CERTIFIED
oct_in_tri,18,2.1856e-12,1.8733e-11,16.409792942504036219,16.409792942504033,16.41137,yes,INTERVAL-CERTIFIED
pen_in_hex,6,-7.9215e-13,-2.4619e-13,2.3229392956670445268,2.322939295665665,2.322943,yes,INTERVAL-CERTIFIED
pen_in_hex,26,-8.5292e-14,-5.3462e-13,4.6603130039444784046,4.660313003943706,4.66044,yes,INTERVAL-CERTIFIED
pen_in_hex,27,4.5769e-14,-5.1115e-14,4.717566100821459011,4.717566100821409,4.718,yes,INTERVAL-CERTIFIED
pen_in_hex,28,-4.8529e-13,-3.57e-14,4.8439971285712899717,4.843997128569802,4.8441,yes,INTERVAL-CERTIFIED
pen_in_hex,29,-4.1708e-14,-7.5314e-14,4.9100371680964367596,4.910037168096236,4.91275,yes,INTERVAL-CERTIFIED
pen_in_hex,30,-4.5369e-13,3.6163e-13,4.9640655032590863193,4.964065503257694,4.96723,yes,INTERVAL-CERTIFIED
pen_in_hex,31,-2.0843e-13,-1.4698e-13,5.0931870662291759936,5.093187066228374,5.09328,yes,INTERVAL-CERTIFIED
pen_in_oct,28,1.3754e-13,1.9782e-13,3.565751008264712052,3.565751008264712,3.56685,yes,INTERVAL-CERTIFIED
pen_in_oct,29,1.9326e-13,5.7794e-15,3.6189640054702928681,3.618964005470293,3.61924,yes,INTERVAL-CERTIFIED
pen_in_oct,30,-3.6973e-13,-5.1556e-14,3.6667804456933747196,3.6667804456925,3.66702,yes,INTERVAL-CERTIFIED
pen_in_oct,31,8.4602e-14,8.733e-14,3.7441627950169549426,3.744162795016955,3.74457,yes,INTERVAL-CERTIFIED
pen_in_squ,8,4.1488e-11,4.6171e-11,4.3819096064592352268,4.381909606459235,4.38191,yes,INTERVAL-CERTIFIED
pen_in_tri,26,-2.8858e-13,-4.4421e-13,11.455492110827342418,11.455492110823988,11.45623,yes,INTERVAL-CERTIFIED
squ_in_hex,30,-1.154e-13,2.2646e-12,3.6955287897341299546,3.695528789733827,3.69554,yes,INTERVAL-CERTIFIED
squ_in_hex,40,-1.9468e-13,-3.7572e-13,4.3017139314855475429,4.301713931484647,4.30173,yes,INTERVAL-CERTIFIED
squ_in_oct,26,-1.1266e-15,-1.0176e-15,2.5270949922585932011,2.527094992258591,2.52711,yes,INTERVAL-CERTIFIED
squ_in_oct,31,6.7756e-14,-1.1659e-13,2.7842807351438685531,2.7842807351438,2.7857,yes,INTERVAL-CERTIFIED
squ_in_oct,32,-1.5351e-13,3.6581e-13,2.8398086923323453539,2.839808692332037,2.84222,yes,INTERVAL-CERTIFIED
squ_in_oct,33,-3.0384e-13,-8.2009e-14,2.8590363774340402292,2.859036377433378,2.8629,yes,INTERVAL-CERTIFIED
squ_in_oct,35,-2.253e-13,-2.3215e-13,2.9067951940417921176,2.906795194041193,2.91052,yes,INTERVAL-CERTIFIED
squ_in_oct,36,5.0159e-11,1.3597e-11,2.9287015515208341947,2.928701551520834,2.92893,yes,INTERVAL-CERTIFIED
squ_in_oct,38,-3.2404e-13,3.6497e-14,3.0211301787312679533,3.021130178730576,3.02321,yes,INTERVAL-CERTIFIED
squ_in_oct,39,-6.006e-14,-6.5144e-14,3.0844430820333006136,3.084443082033133,3.08686,yes,INTERVAL-CERTIFIED
squ_in_oct,40,8.8248e-13,-3.5137e-13,3.1420175766628973097,3.142017576662691,3.14545,yes,INTERVAL-CERTIFIED
squ_in_tri,41,-4.1431e-14,-1.202e-13,10.618802157231042161,10.618802157230435,10.61923,yes,INTERVAL-CERTIFIED
squ_in_tri,42,-2.4109e-13,4.1903e-14,10.618802157232246914,10.618802157230435,10.61956,yes,INTERVAL-CERTIFIED
squ_in_tri,43,-3.7264e-13,1.19e-13,10.773502698925831316,10.773502698922991,10.77405,yes,INTERVAL-CERTIFIED
tri_in_hex,8,3.454e-16,1.602e-11,1.3565973996870519878,1.356597399687052,,,INTERVAL-CERTIFIED
tri_in_hex,36,4.703e-13,-1.9832e-13,2.5830781203561778702,2.583078120356046,2.58309,yes,INTERVAL-CERTIFIED
tri_in_oct,31,-1.313e-13,-4.5982e-13,1.8033802285828074401,1.803380228582351,1.80341,yes,INTERVAL-CERTIFIED
tri_in_oct,32,1.0064e-12,7.7306e-12,1.8299425611566104043,1.82994256115661,1.83002,yes,INTERVAL-CERTIFIED
tri_in_oct,33,-5.7741e-14,-2.2594e-13,1.8478925380404368786,1.8478925380402222,1.85532,yes,INTERVAL-CERTIFIED
tri_in_oct,34,-5.1255e-13,2.1838e-13,1.8645443999882884917,1.8645443999873328,1.87179,yes,INTERVAL-CERTIFIED
tri_in_oct,35,-3.1199e-14,-8.7692e-14,1.8905135809714079609,1.890513580971307,1.89225,yes,INTERVAL-CERTIFIED
tri_in_oct,36,-3.5974e-13,-1.0552e-13,1.9266787465154040741,1.926678746514661,1.92843,yes,INTERVAL-CERTIFIED
tri_in_oct,37,3.7268e-13,4.4232e-13,1.9561597842680063395,1.956159784268007,1.95803,yes,INTERVAL-CERTIFIED
tri_in_pen,28,-4.3712e-13,-3.7505e-13,2.866364405712530866,2.866364405710964,2.868,yes,INTERVAL-CERTIFIED
