category,n,max_disp,median_disp,inner_side,max_disp_over_side,reconstruction
hex_in_hex,32,0.0500,0.0263,1.0000,0.050,sweep_hex_in_hex_32.json
hex_in_hex,33,0.0347,0.0237,1.0000,0.035,sweep_hex_in_hex_33.json
hex_in_pen,26,1.0606,0.3076,1.0000,1.061,sweep_hex_in_pen_26.json
hex_in_pen,27,0.0280,0.0221,1.0000,0.028,sweep_hex_in_pen_27.json
hex_in_pen,30,0.0550,0.0224,1.0000,0.055,sweep_hex_in_pen_30.json
hex_in_pen,32,0.0328,0.0194,1.0000,0.033,sweep_hex_in_pen_32.json
oct_in_hex,6,0.0140,0.0105,0.7654,0.018,sweep_oct_in_hex_6.json
oct_in_hex,20,0.0219,0.0138,0.7654,0.029,sweep_oct_in_hex_20.json
oct_in_tri,14,0.0225,0.0125,0.7654,0.029,sweep_oct_in_tri_14.json
oct_in_tri,18,0.0403,0.0194,0.7654,0.053,sweep_oct_in_tri_18.json
pen_in_hex,26,0.0342,0.0149,1.1756,0.029,sweep_pen_in_hex_26.json
pen_in_hex,27,0.0383,0.0171,1.1756,0.033,sweep_pen_in_hex_27.json
pen_in_hex,28,0.0300,0.0129,1.1756,0.025,sweep_pen_in_hex_28.json
pen_in_hex,29,0.0532,0.0249,1.1756,0.045,sweep_pen_in_hex_29.json
pen_in_hex,30,0.0670,0.0399,1.1756,0.057,sweep_pen_in_hex_30.json
pen_in_hex,31,0.0382,0.0221,1.1756,0.032,sweep_pen_in_hex_31.json
pen_in_oct,29,0.0443,0.0194,1.1756,0.038,sweep_pen_in_oct_29.json
pen_in_oct,30,0.0405,0.0166,1.1756,0.034,sweep_pen_in_oct_30.json
pen_in_oct,31,0.0528,0.0159,1.1756,0.045,sweep_pen_in_oct_31.json
pen_in_tri,26,,,,,no archived reconstruction
squ_in_hex,30,0.0242,0.0181,1.4142,0.017,sweep_squ_in_hex_30.json
squ_in_hex,40,0.0701,0.0301,1.4142,0.050,sweep_squ_in_hex_40.json
squ_in_oct,26,0.0339,0.0221,1.4142,0.024,sweep_squ_in_oct_26.json
squ_in_oct,31,0.0588,0.0207,1.4142,0.042,sweep_squ_in_oct_31.json
squ_in_oct,32,0.0494,0.0236,1.4142,0.035,sweep_squ_in_oct_32.json
squ_in_oct,33,0.0581,0.0287,1.4142,0.041,sweep_squ_in_oct_33.json
squ_in_oct,35,0.0534,0.0240,1.4142,0.038,sweep_squ_in_oct_35.json
squ_in_oct,38,0.0486,0.0270,1.4142,0.034,sweep_squ_in_oct_38.json
squ_in_oct,39,0.0614,0.0233,1.4142,0.043,sweep_squ_in_oct_39.json
squ_in_oct,40,0.0592,0.0267,1.4142,0.042,sweep_squ_in_oct_40.json
tri_in_hex,36,0.0456,0.0194,1.7321,0.026,sweep_tri_in_hex_36.json
tri_in_oct,31,0.0326,0.0174,1.7321,0.019,sweep_tri_in_oct_31.json
tri_in_oct,32,0.0286,0.0149,1.7321,0.016,sweep_tri_in_oct_32.json
tri_in_oct,35,0.0550,0.0187,1.7321,0.032,sweep_tri_in_oct_35.json
tri_in_oct,36,0.0609,0.0206,1.7321,0.035,sweep_tri_in_oct_36.json
tri_in_oct,37,0.0677,0.0181,1.7321,0.039,sweep_tri_in_oct_37.json
tri_in_pen,28,0.0287,0.0185,1.7321,0.017,sweep_tri_in_pen_28.json
tri_in_pen,29,0.0268,0.0153,1.7321,0.015,sweep_tri_in_pen_29.json
tri_in_pen,30,0.0316,0.0169,1.7321,0.018,sweep_tri_in_pen_30.json
tri_in_pen,34,0.0468,0.0187,1.7321,0.027,sweep_tri_in_pen_34.json
tri_in_pen,35,0.0346,0.0181,1.7321,0.020,sweep_tri_in_pen_35.json
tri_in_pen,36,0.0325,0.0172,1.7321,0.019,sweep_tri_in_pen_36.json
tri_in_pen,42,0.0301,0.0103,1.7321,0.017,sweep_tri_in_pen_42.json
tri_in_pen,43,0.0247,0.0135,1.7321,0.014,sweep_tri_in_pen_43.json
