category,n,s_ours_full,s_ours_displayed,prior_floor,prior_holder,margin_lb,mechanism,first_sent,credit_verified_in_scrape,status_2026-08-16,recertified,resubmitted,note
hex_in_hex,32,6.260881958274990,6.26088+,6.26164,Bhavithran Ananthan,7.58e-04,harvest,2026-07-05,2026-07-06,standing,yes,,
hex_in_hex,33,6.265896788426259,6.26589+,6.26603,Thomas Greenleaf,1.33e-04,harvest,2026-07-05,2026-07-06,standing,yes,,
hex_in_pen,5,3.219728441230089,3.21972+,3.21973,Jonathan Viquerat,1.56e-06,search,2026-07-08,2026-07-09,standing,yes,,small-n blitz; 6th-decimal beat
hex_in_pen,26,7.047340522162662,7.04734+,7.04739,Bhavithran Ananthan,4.95e-05,harvest,2026-07-08,2026-07-09,standing,yes,,overnight recon+squeeze of a 6-day-old entry
hex_in_pen,27,7.153071449490314,7.15307+,7.15354,Bhavithran Ananthan,4.69e-04,harvest,2026-07-06,2026-07-06,standing,yes,,
hex_in_pen,30,7.459853596877675,7.45985+,7.46147,Mohamed Metwalli,1.62e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
hex_in_pen,32,7.766495222005064,7.76649+,7.76651,Bhavithran Ananthan,1.48e-05,harvest,2026-07-06,2026-07-06,re-taken by Bhavithran Ananthan (July 2026),yes,,
oct_in_hex,6,3.947306302388469,3.94730+,3.9496,Mohamed Metwalli,2.29e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
oct_in_hex,20,6.994504805050101,6.99450+,6.99466,Bhavithran Ananthan,1.55e-04,harvest,2026-07-06,2026-07-06,re-taken by Leo Strijbos (August 2026),yes,,
oct_in_tri,14,14.239214111099999,14.23921+,14.24006,Jonathan Viquerat,8.46e-04,harvest,2026-07-06,2026-07-06,standing,yes,,
oct_in_tri,18,16.409792942504033,16.40979+,16.41137,Bhavithran Ananthan,1.58e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
pen_in_hex,6,2.322939295665665,2.32293+,2.322943,Bhavithran Ananthan,3.70e-06,search,2026-07-08,—,withdrawn — not a record (page was stale; the incumbent's actual value was not beaten),yes,,lost the race: Ananthan re-squeezed his own entry to the same displayed floor before processing; never credited
pen_in_hex,26,4.660313003943706,4.66031+,4.66044,Bhavithran Ananthan,1.27e-04,harvest,2026-07-06,2026-07-06,standing,yes,,
pen_in_hex,27,4.717566100821409,4.71756+,4.718,Bhavithran Ananthan,4.34e-04,harvest,2026-07-06,2026-07-06,standing,yes,,
pen_in_hex,28,4.843997128569802,4.84399+,4.8441,Bhavithran Ananthan,1.03e-04,harvest,2026-07-06,2026-07-06,re-taken by Bhavithran Ananthan (July 2026),yes,,
pen_in_hex,29,4.910037168096236,4.91003+,4.91275,Mohamed Metwalli,2.71e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
pen_in_hex,30,4.964065503257694,4.96406+,4.96723,Mohamed Metwalli,3.16e-03,harvest,2026-07-06,2026-07-06,standing,yes,,
pen_in_hex,31,5.093187066228374,5.09318+,5.09328,Bhavithran Ananthan,9.29e-05,harvest,2026-07-06,2026-07-06,re-taken by Bhavithran Ananthan (July 2026),yes,,
pen_in_oct,28,3.565751008264712,3.56575+,3.56685,Mohamed Metwalli,1.10e-03,harvest,2026-07-06,—,"briefly listed during 26-batch processing, re-taken the same day — not captured in any archived scrape",yes,,never credited: overtaken before processing — Ananthan posted 3.56402+ (below our 3.56575+) the same day
pen_in_oct,29,3.618964005470293,3.61896+,3.61924,Bhavithran Ananthan,2.76e-04,harvest,2026-07-06,2026-07-06,re-taken by Bhavithran Ananthan (July 2026),yes,,
pen_in_oct,30,3.666780445692500,3.66678+,3.66702,Bhavithran Ananthan,2.40e-04,harvest,2026-07-06,2026-07-06,standing,yes,,
pen_in_oct,31,3.744162795016955,3.74416+,3.74457,Bhavithran Ananthan,4.07e-04,harvest,2026-07-06,2026-07-06,re-taken by Bhavithran Ananthan (July 2026),yes,,
pen_in_squ,8,4.381909606459235,4.38190+,4.38191,Jonathan Viquerat,3.94e-07,search,2026-07-08,2026-07-09,standing,yes,,small-n blitz; 6th-decimal beat
pen_in_tri,26,11.455492110823988,11.45549+,11.45623,Bhavithran Ananthan,7.38e-04,harvest,2026-07-08,2026-07-09,standing,yes,,overnight recon+squeeze of a 6-day-old entry
squ_in_hex,30,3.695528789733827,3.69552+,3.69554,Ian Watson,1.12e-05,harvest,2026-07-06,2026-07-06,standing,yes,,
squ_in_hex,40,4.301713931484647,4.30171+,4.30173,Jake Loyd,1.61e-05,harvest,2026-07-06,2026-07-06,standing,yes,,
squ_in_oct,26,2.527094992258591,2.52709+,2.52711,Jake Loyd,1.50e-05,harvest,2026-07-05,2026-07-06,standing,yes,,
squ_in_oct,31,2.784280735143800,2.78428+,2.7857,Mohamed Metwalli,1.42e-03,harvest,2026-07-05,2026-07-06,re-taken by Aapo Lipponen (July 2026),yes,,
squ_in_oct,32,2.839808692332037,2.83980+,2.84222,Mohamed Metwalli,2.41e-03,harvest,2026-07-05,2026-07-06,standing,yes,,
