category,n,px_per_unit,center_err_px_mean,center_err_px_max,angle_err_rad_mean,s_after_squeeze,delta_vs_true,verdict
hex_in_hex,32,18.21,0.798,1.729,0.0209,6.260702345288,-1.796e-04,BELOW-CHECK
hex_in_hex,33,18.19,0.911,2.011,0.0314,6.265891961206,-4.827e-06,BELOW-CHECK
hex_in_pen,5,41.62,0.511,0.581,0.0071,3.219732647549,+4.206e-06,ABOVE
hex_in_pen,26,19.02,0.617,1.091,0.0197,7.047576881725,+2.364e-04,ABOVE
hex_in_pen,27,18.74,0.745,1.316,0.0361,7.153720785402,+6.493e-04,ABOVE
hex_in_pen,30,17.96,0.528,0.978,0.0231,7.460032614436,+1.790e-04,ABOVE
hex_in_pen,32,17.26,0.595,1.282,0.0218,7.767066714521,+5.715e-04,ABOVE
oct_in_hex,6,37.73,0.371,0.445,0.0055,3.947306307086,+4.697e-09,ABOVE
oct_in_hex,20,21.30,0.353,0.548,0.0219,6.994873704699,+3.689e-04,ABOVE
oct_in_tri,14,18.12,0.324,1.057,0.0292,14.239770416123,+5.563e-04,ABOVE
oct_in_tri,18,15.72,0.590,1.053,0.0737,16.410450280513,+6.573e-04,ABOVE
pen_in_hex,6,41.75,0.487,0.699,0.0034,2.322939297685,+2.020e-09,ABOVE
pen_in_hex,26,20.81,0.492,0.985,0.0125,4.660243667253,-6.934e-05,BELOW-CHECK
pen_in_hex,27,20.56,0.611,1.259,0.0131,4.717589001172,+2.290e-05,ABOVE
pen_in_hex,28,20.02,0.388,0.863,0.0166,4.844013652716,+1.652e-05,ABOVE
pen_in_hex,29,19.75,0.630,1.057,0.0134,4.910354320902,+3.172e-04,ABOVE
pen_in_hex,30,19.54,0.535,0.904,0.0204,4.964103342725,+3.784e-05,ABOVE
pen_in_hex,31,19.04,0.672,1.094,0.0235,5.092724882680,-4.622e-04,BELOW-CHECK
pen_in_oct,28,20.81,0.619,1.143,0.0165,3.565709219325,-4.179e-05,BELOW-CHECK
pen_in_oct,29,20.51,0.639,1.142,0.0176,3.619041730910,+7.773e-05,ABOVE
pen_in_oct,30,20.24,0.504,2.015,0.0128,3.666700780006,-7.967e-05,BELOW-CHECK
pen_in_oct,31,19.82,0.426,1.110,0.0136,3.744141724169,-2.107e-05,BELOW-CHECK
pen_in_squ,8,31.30,0.571,0.810,0.0075,4.381914747152,+5.141e-06,ABOVE
pen_in_tri,26,14.66,0.434,1.053,0.0427,11.456015465556,+5.234e-04,ABOVE
squ_in_hex,30,21.81,0.755,1.611,0.0171,3.696274287193,+7.455e-04,ABOVE
squ_in_hex,40,18.74,0.659,2.015,0.0136,4.301689555941,-2.438e-05,BELOW-CHECK
squ_in_oct,26,24.41,0.424,0.695,0.0108,2.527112310409,+1.732e-05,ABOVE
squ_in_oct,31,22.16,0.488,1.353,0.0095,2.784492992559,+2.123e-04,ABOVE
squ_in_oct,32,21.73,0.564,1.130,0.0121,2.840004172451,+1.955e-04,ABOVE
squ_in_oct,33,21.58,0.723,1.966,0.0131,2.861361246950,+2.325e-03,ABOVE
squ_in_oct,35,21.22,0.531,0.953,0.0106,2.906863573152,+6.838e-05,ABOVE
squ_in_oct,36,21.07,0.509,1.682,0.0100,2.928867350764,+1.658e-04,ABOVE
squ_in_oct,38,20.42,0.507,2.053,0.0104,3.021178115159,+4.794e-05,ABOVE
squ_in_oct,39,20.00,0.467,1.011,0.0112,3.084444858993,+1.777e-06,ABOVE
squ_in_oct,40,19.64,0.473,1.164,0.0134,3.142072661531,+5.508e-05,ABOVE
squ_in_tri,41,13.15,0.816,2.167,0.0413,10.618882159217,+8.000e-05,ABOVE
squ_in_tri,42,13.15,0.424,1.813,0.0243,10.671049736667,+5.225e-02,ABOVE
squ_in_tri,43,12.96,0.513,2.170,0.0138,10.773734434516,+2.317e-04,ABOVE
tri_in_hex,8,48.52,0.704,1.069,0.0021,1.356597399479,-2.083e-10,SAME-BASIN
tri_in_hex,36,25.48,0.473,0.844,0.0038,2.583249323693,+1.712e-04,ABOVE
tri_in_oct,31,27.93,0.579,1.399,0.0044,1.803701403809,+3.212e-04,ABOVE
tri_in_oct,32,27.53,0.556,1.035,0.0057,1.829967265460,+2.470e-05,ABOVE
tri_in_oct,33,27.26,0.454,0.870,0.0054,1.847932913234,+4.038e-05,ABOVE
tri_in_oct,34,27.02,0.484,0.821,0.0048,1.864447725703,-9.667e-05,BELOW-CHECK
tri_in_oct,35,26.65,0.443,0.943,0.0047,1.890444567513,-6.901e-05,BELOW-CHECK
tri_in_oct,36,26.15,0.430,0.697,0.0033,1.926698112726,+1.937e-05,ABOVE
tri_in_oct,37,25.75,0.426,0.936,0.0069,1.956171402661,+1.162e-05,ABOVE
tri_in_pen,28,26.99,0.450,0.756,0.0071,2.866371374849,+6.969e-06,ABOVE
tri_in_pen,29,26.66,0.553,1.687,0.0061,2.902473671533,+6.659e-05,ABOVE
tri_in_pen,30,26.23,0.544,0.927,0.0055,2.950148550408,+6.765e-06,ABOVE
tri_in_pen,34,24.87,0.425,0.814,0.0060,3.110735029798,+3.545e-06,ABOVE
tri_in_pen,35,24.58,0.425,0.850,0.0080,3.148505865951,+7.285e-05,ABOVE
tri_in_pen,36,24.37,0.538,1.258,0.0068,3.175393379943,+6.625e-04,ABOVE
tri_in_pen,42,22.59,0.493,1.250,0.0083,3.425150311240,+9.298e-05,ABOVE
tri_in_pen,43,22.33,0.415,0.830,0.0060,3.464261824658,-7.731e-05,BELOW-CHECK
