
## Sweep started (fresh-2026 numeric entries, n=6..45)
- squ_in_tri n=20: GIF not found, skipped
- squ_in_tri n=22: GIF not found, skipped
- squ_in_tri n=37: GIF not found, skipped
- squ_in_tri n=38: GIF not found, skipped
- squ_in_tri n=39: GIF not found, skipped
- squ_in_tri n=40: GIF not found, skipped
- squ_in_tri n=41: GIF not found, skipped
- squ_in_tri n=42: GIF not found, skipped
- squ_in_tri n=43: GIF not found, skipped
- squ_in_pen n=9: GIF not found, skipped
- squ_in_pen n=10: GIF not found, skipped
- squ_in_pen n=11: GIF not found, skipped
- squ_in_pen n=12: GIF not found, skipped
- squ_in_pen n=13: GIF not found, skipped
- squ_in_pen n=16: GIF not found, skipped
- squ_in_pen n=17: GIF not found, skipped
- squ_in_pen n=18: GIF not found, skipped
- squ_in_pen n=19: GIF not found, skipped
- squ_in_pen n=20: GIF not found, skipped
- squ_in_pen n=21: GIF not found, skipped
- squ_in_pen n=22: GIF not found, skipped
- squ_in_pen n=23: GIF not found, skipped
- squ_in_pen n=24: GIF not found, skipped
- squ_in_pen n=25: GIF not found, skipped
- squ_in_pen n=26: GIF not found, skipped
- squ_in_pen n=27: GIF not found, skipped
- squ_in_pen n=28: GIF not found, skipped
- squ_in_pen n=29: GIF not found, skipped
- squ_in_pen n=30: GIF not found, skipped
- squ_in_pen n=31: GIF not found, skipped
- squ_in_pen n=32: GIF not found, skipped
- squ_in_pen n=33: GIF not found, skipped
- squ_in_pen n=34: GIF not found, skipped
- squ_in_pen n=35: GIF not found, skipped
- squ_in_pen n=36: GIF not found, skipped
- squ_in_pen n=37: GIF not found, skipped
- squ_in_pen n=38: GIF not found, skipped
- squ_in_pen n=39: GIF not found, skipped
- squ_in_pen n=40: GIF not found, skipped
- tri_in_pen n=6: GIF not found, skipped
- tri_in_pen n=10: GIF not found, skipped
- tri_in_pen n=11: GIF not found, skipped
- tri_in_pen n=12: GIF not found, skipped
- tri_in_pen n=13: GIF not found, skipped
- tri_in_pen n=14: GIF not found, skipped
- tri_in_pen n=15: GIF not found, skipped
- tri_in_pen n=16: GIF not found, skipped
- tri_in_pen n=17: GIF not found, skipped
- tri_in_pen n=18: GIF not found, skipped
- tri_in_pen n=19: GIF not found, skipped
- tri_in_pen n=20: GIF not found, skipped
- tri_in_pen n=21: GIF not found, skipped
- tri_in_pen n=22: GIF not found, skipped
- tri_in_pen n=23: GIF not found, skipped
- tri_in_pen n=24: GIF not found, skipped
- tri_in_pen n=25: GIF not found, skipped
- tri_in_pen n=26: GIF not found, skipped
- tri_in_pen n=27: GIF not found, skipped
- tri_in_pen n=28: GIF not found, skipped
- tri_in_pen n=29: GIF not found, skipped
- tri_in_pen n=30: GIF not found, skipped
- tri_in_pen n=31: GIF not found, skipped
- tri_in_pen n=32: GIF not found, skipped
- tri_in_pen n=33: GIF not found, skipped
- tri_in_pen n=34: GIF not found, skipped
- tri_in_pen n=35: GIF not found, skipped
- tri_in_pen n=36: GIF not found, skipped
- tri_in_pen n=37: GIF not found, skipped
- tri_in_pen n=38: GIF not found, skipped
- tri_in_pen n=39: GIF not found, skipped
- tri_in_pen n=40: GIF not found, skipped
- tri_in_pen n=41: GIF not found, skipped
- tri_in_pen n=42: GIF not found, skipped
- tri_in_pen n=43: GIF not found, skipped
- tri_in_pen n=44: GIF not found, skipped
- tri_in_pen n=45: GIF not found, skipped
- tri_in_hex n=10: GIF not found, skipped
- tri_in_hex n=12: GIF not found, skipped
- tri_in_hex n=19: GIF not found, skipped
- tri_in_hex n=20: GIF not found, skipped
- tri_in_hex n=21: GIF not found, skipped
- tri_in_hex n=26: GIF not found, skipped
- tri_in_hex n=27: GIF not found, skipped
- tri_in_hex n=28: GIF not found, skipped
- tri_in_hex n=32: GIF not found, skipped
- tri_in_hex n=33: GIF not found, skipped
- tri_in_hex n=36: GIF not found, skipped
- tri_in_hex n=37: GIF not found, skipped
- tri_in_hex n=38: GIF not found, skipped
- tri_in_hex n=40: GIF not found, skipped
- tri_in_hex n=41: GIF not found, skipped
- squ_in_oct n=8: GIF not found, skipped
- squ_in_oct n=10: GIF not found, skipped
- squ_in_oct n=11: GIF not found, skipped
- squ_in_oct n=13: GIF not found, skipped
- squ_in_oct n=14: GIF not found, skipped
- squ_in_oct n=15: GIF not found, skipped
- squ_in_oct n=18: GIF not found, skipped
- squ_in_oct n=19: GIF not found, skipped
- squ_in_oct n=20: GIF not found, skipped
- squ_in_oct n=22: GIF not found, skipped
- squ_in_oct n=23: GIF not found, skipped
- squ_in_oct n=26: GIF not found, skipped
- squ_in_oct n=27: GIF not found, skipped
- squ_in_oct n=28: GIF not found, skipped
- squ_in_oct n=29: GIF not found, skipped
- squ_in_oct n=31: GIF not found, skipped
- squ_in_oct n=32: GIF not found, skipped
- squ_in_oct n=33: GIF not found, skipped
- squ_in_oct n=35: GIF not found, skipped
- squ_in_oct n=36: GIF not found, skipped
- squ_in_oct n=37: GIF not found, skipped
- squ_in_oct n=38: GIF not found, skipped
- squ_in_oct n=39: GIF not found, skipped
- squ_in_oct n=40: GIF not found, skipped
- hex_in_hex n=14: GIF not found, skipped
- hex_in_hex n=15: GIF not found, skipped
- hex_in_hex n=16: GIF not found, skipped
- hex_in_hex n=17: GIF not found, skipped
- hex_in_hex n=23: GIF not found, skipped
- hex_in_hex n=25: GIF not found, skipped
- hex_in_hex n=26: GIF not found, skipped
- hex_in_hex n=27: GIF not found, skipped
- hex_in_hex n=28: GIF not found, skipped
- hex_in_hex n=32: GIF not found, skipped
- hex_in_hex n=33: GIF not found, skipped
- tri_in_squ n=12: GIF not found, skipped
- tri_in_squ n=15: GIF not found, skipped
- tri_in_squ n=16: GIF not found, skipped
- tri_in_squ n=19: GIF not found, skipped
- tri_in_squ n=20: GIF not found, skipped
- tri_in_squ n=21: GIF not found, skipped
- tri_in_squ n=22: GIF not found, skipped
- tri_in_squ n=23: GIF not found, skipped
- tri_in_squ n=24: GIF not found, skipped
- tri_in_squ n=27: GIF not found, skipped
- tri_in_squ n=28: GIF not found, skipped
- tri_in_squ n=29: GIF not found, skipped
- tri_in_squ n=30: GIF not found, skipped
- tri_in_squ n=31: GIF not found, skipped
- tri_in_squ n=32: GIF not found, skipped
- tri_in_squ n=33: GIF not found, skipped
- tri_in_squ n=34: GIF not found, skipped
- tri_in_squ n=35: GIF not found, skipped
- tri_in_squ n=36: GIF not found, skipped
- tri_in_squ n=37: GIF not found, skipped
- tri_in_squ n=38: GIF not found, skipped
- tri_in_squ n=39: GIF not found, skipped
- tri_in_squ n=40: GIF not found, skipped
- tri_in_squ n=41: GIF not found, skipped
- tri_in_squ n=42: GIF not found, skipped
- tri_in_squ n=43: GIF not found, skipped
- tri_in_squ n=44: GIF not found, skipped
- tri_in_squ n=45: GIF not found, skipped
- squ_in_hex n=6: GIF not found, skipped
- squ_in_hex n=8: GIF not found, skipped
- squ_in_hex n=11: GIF not found, skipped
- squ_in_hex n=13: GIF not found, skipped
- squ_in_hex n=14: GIF not found, skipped
- squ_in_hex n=15: GIF not found, skipped
- squ_in_hex n=16: GIF not found, skipped
- squ_in_hex n=17: GIF not found, skipped
- squ_in_hex n=18: GIF not found, skipped
- squ_in_hex n=19: GIF not found, skipped
- squ_in_hex n=20: GIF not found, skipped
- squ_in_hex n=22: GIF not found, skipped
- squ_in_hex n=23: GIF not found, skipped
- squ_in_hex n=24: GIF not found, skipped
- squ_in_hex n=26: GIF not found, skipped
- squ_in_hex n=28: GIF not found, skipped
- squ_in_hex n=29: GIF not found, skipped
- squ_in_hex n=30: GIF not found, skipped
- squ_in_hex n=31: GIF not found, skipped
- squ_in_hex n=32: GIF not found, skipped
- squ_in_hex n=33: GIF not found, skipped
- squ_in_hex n=34: GIF not found, skipped
- squ_in_hex n=35: GIF not found, skipped
- squ_in_hex n=36: GIF not found, skipped
- squ_in_hex n=38: GIF not found, skipped
- squ_in_hex n=39: GIF not found, skipped
- squ_in_hex n=40: GIF not found, skipped
## Sweep complete
